metric,scope,vanilla_mean,vanilla_std,gmm_mean,gmm_std,better
mse,DEG,0.024772802864327346,0.01980245615386522,0.021886805553762406,0.015607464381720003,GMM
pearson,DEG,0.9869010703904288,0.008913967339944175,0.987728476524353,0.007568058875539067,GMM
spearman,DEG,0.944125364431487,0.030863924449100213,0.951938775510204,0.030943302206597162,GMM
r_squared,DEG,0.9719064916883197,0.01945753471293527,0.9744528957775661,0.01568332109023263,GMM
wasserstein_1,DEG,0.2615806988820238,0.03899612002412016,0.2503870093179307,0.024501150939330835,GMM
wasserstein_2,DEG,0.053001232418087775,0.01778042494772962,0.04712352387908488,0.011047473547978656,GMM
mmd,DEG,0.1491551649779366,0.02637251295350034,0.1480736061613706,0.03138600468990458,GMM
energy,DEG,0.06599152585594717,0.01764413902416093,0.061029198001147,0.011989220246964435,GMM
multivariate_wasserstein,DEG,6.164974961962018,0.6567497993272743,5.699164594922747,0.5610593833402825,GMM
multivariate_mmd,DEG,0.04929484047166101,0.028903683643576407,0.05863808733058946,0.02435773426323861,Vanilla
deg_correlation_top20,DEG,0.9858986139297485,0.01099713146686554,0.9860683679580688,0.012446271255612373,GMM
